amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,cagr_5yr_available,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,r_squared,max_drawdown_pct,drawdown_start_date,drawdown_trough_date,drawdown_recovery_date,return_3yr_rank_score,sharpe_rank_score,alpha_rank_score,expense_rank_score,max_drawdown_rank_score,score_0_100,tracking_error_nifty100_pct,tracking_error_nifty50_pct,aum_crore
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.55,-2.2257773892688015,1.2923525892154508,,False,2.551325211011266,12.30042952202974,-0.3210192604995429,-0.4728224084369744,3.747580763443281,-0.0582684314388089,0.0026650326981333,-24.734440880673304,2022-03-30,2022-09-15,2023-03-14,87.5,85.0,97.5,80.0,85.0,87.5,19.534541825693687,19.46609667504284,930000.0
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.51,-16.807959958672036,-0.7672319440258146,,False,1.978633056877262,15.332441289191184,-0.294888912851089,-0.4205889785291456,2.8969397866379443,-0.0421250290218943,0.0008964294600687,-28.00112356639287,2025-01-07,2026-04-27,,92.5,82.5,100.0,61.25000000000001,87.5,86.31,22.3294629944714,22.346191760752045,410000.0
119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.38,-42.81949516662213,-11.703299329834216,,False,3.2858414048511952,21.193443362831076,-0.1516581586164416,-0.2163460093482832,4.801595363775955,-0.066951174639292,0.0011851593464486,-51.677753708526566,2025-05-22,2026-05-11,,100.0,80.0,92.5,42.5,97.5,84.62,28.342784880408026,28.143949675011616,350000.0
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,-24.000309180292632,-4.151453816140693,,False,7.647758498249846,21.81298265430815,0.0526181364758548,0.0756683044515278,10.897091901704538,-0.0652892478835152,0.0010641052735572,-35.44691649336603,2024-11-21,2026-05-11,,97.5,67.5,67.5,71.25,95.0,79.81,29.29983547207924,28.998001154645248,460000.0
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.64,1.61022963455828,0.5257668501786883,,False,4.954548796260085,11.796511781793413,-0.1310091688396518,-0.1891883316951388,6.899529821677549,0.0097307450011536,8.082637693810774e-05,-14.40161790933726,2023-10-12,2025-02-07,2025-12-31,90.0,75.0,75.0,98.75,37.5,79.31,18.58209409998254,19.22045533792453,350000.0
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,0.72,13.957994357447737,-1.337083602283895,,False,3.6273125844665106,21.095074508933585,-0.1361781118297038,-0.1900354205037957,4.882421594553985,0.0620018043826716,0.0010259205326765,-52.57422117012851,2023-01-17,2025-10-28,,95.0,77.5,90.0,13.750000000000002,100.0,77.94,,,1250000.0
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,1.56,22.51898694246592,7.75416750547262,,False,5.619872413762051,15.131095633895365,-0.0581668114149224,-0.0806959676413177,7.80443887615508,0.0180568742081181,0.0001691554883831,-24.00351132627489,2023-11-09,2024-10-17,2025-10-14,70.0,72.5,72.5,82.5,82.5,74.25,,,580000.0
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.79,7.241777200393584,6.314299292105274,,False,4.352162036092684,0.461860837197231,-4.650400707150914,-8.741654278994412,6.086145795787115,0.0002667096833823,4.6076236771052326e-05,-0.1622498024471785,2023-09-05,2023-09-12,2023-09-22,77.5,100.0,82.5,27.500000000000004,7.5,69.62,,,460000.0
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,0.56,3.7075527018896497,3.9154793546847033,,False,3.064015917896624,3.304017152036813,-1.0399413574427756,-1.4612200367895023,4.281792031506088,0.0011582183155281,1.4612842041845034e-05,-4.308263824636349,2023-05-23,2023-07-28,2024-01-30,85.0,92.5,95.0,5.0,10.0,69.38,,,930000.0
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,0.77,5.525880326360788,5.838988442093762,,False,4.004812909236466,3.357814142204654,-0.7430986305648412,-1.045909778283203,5.620895216638369,-0.0064138507282764,0.000434260332172,-4.328728923970093,2024-09-16,2025-04-01,2025-08-22,80.0,87.5,85.0,22.5,12.5,67.5,,,1250000.0
