amfi_code,count,mean,std,min,median,max,reasonable_distribution
100016,1607,0.0001012430639290185,0.007748542270135183,-0.024744195024194893,0.0,0.032144994848341435,True
100025,1607,0.00012158793324986602,0.0020813351694717363,-0.008188233425857616,0.0,0.008837320193912479,True
100033,1607,0.0007720563881574181,0.010097396034939702,-0.04423756632595455,0.0,0.0419539131278186,True
101206,1607,0.0006090145567967665,0.00776849925148344,-0.03812135374183845,0.0,0.0339559924621915,True
101207,1607,0.0003034824800892796,0.013740887489491658,-0.05184658735441772,0.0,0.054850854888488954,True
101208,1607,0.00017270484270209065,0.00029094497989141986,-0.0007660035078232985,6.831893220859975e-05,0.0012472622638639574,True
102885,1607,0.00048202141031768403,0.006843511126520477,-0.021104459881835735,0.0,0.02556508665321444,True
102886,1607,7.851718479671675e-05,0.009658530153023434,-0.03669488588544001,0.0,0.04074460464512519,True
102887,1607,0.00046141658852704337,0.008397900698220455,-0.03127133856604847,0.0,0.03238586803490251,True
118632,1607,0.0006186338960313138,0.007545477689565593,-0.0284902628676873,0.0,0.028217948101607604,True
118633,1607,0.0004406624097388715,0.007460052913751871,-0.025402077173765192,0.0,0.035912657645342794,True
118634,1607,0.0005055810081103003,0.01344732451486849,-0.058102013949189124,0.0,0.05930431349399523,True
118635,1607,0.0004293370201536983,0.006920092721147491,-0.025465982566505563,0.0,0.030547428464951176,True
118636,1607,0.0001440956918279976,0.002124631553204856,-0.008882773596914917,0.0,0.007707926003910348,True
119092,1607,0.00019660907921667005,0.007431103931587806,-0.023383394130157997,0.0,0.03362587927855909,True
119093,1607,0.00023584790440715284,0.007448936705057542,-0.029495638492551657,0.0,0.030557924932507863,True
119094,1607,0.0007340857727686265,0.010346545250426617,-0.040754779751467796,0.0,0.04159058083973299,True
119095,1607,0.0001303905319385395,0.013350614419805578,-0.0483670587509033,0.0,0.04310950677229752,True
119120,1607,0.00015892114719192325,0.002115224087868854,-0.007690394918281163,0.0,0.008162601626016341,True
119551,1607,0.0006555078837905065,0.007330332334181755,-0.02767955146934109,0.0,0.035096209280954804,True
119552,1607,0.0005614460108258876,0.007432514266400861,-0.025775297433567546,0.0,0.029090904826240216,True
119598,1607,0.0008587225151280507,0.013400750130382043,-0.04518049215606024,0.0,0.06471309359097144,True
119599,1607,0.00014394097557406788,0.013288647866432435,-0.04542894973138323,0.0,0.05331971272992497,True
120503,1607,0.0004987785465386744,0.007401502155837851,-0.02590019423278056,0.0,0.02706446134923368,True
120504,1607,0.0006027755612771176,0.007659558020903956,-0.026317072640131722,0.0,0.031233656778760333,True
120505,1607,0.0008303404278076508,0.01028765664065271,-0.0384182138086695,0.0,0.040812044430152294,True
120506,1607,0.00046482625327422185,0.008117022372451837,-0.033229575908718,0.0,0.04381158192665158,True
120507,1607,0.00019137073431539848,0.00028949196318156154,-0.0006658341331050588,9.992580157391906e-05,0.0011972015097430067,True
120841,1607,0.00037323928579397587,0.007174637104271447,-0.023778576314587574,0.0,0.028579541907659545,True
120842,1607,0.00022301081006992267,0.009531694312195794,-0.04032252790729607,0.0,0.03773352962164522,True
120843,1607,0.0007734513977832859,0.008475433582894383,-0.029748087815623214,0.0,0.03355401228417154,True
120844,1607,0.00018313125932914738,0.00029684822914141494,-0.0007042787939615103,8.062782032980387e-05,0.0012536722913947251,True
125497,1607,0.0005073062891763177,0.007819146539356107,-0.03150541787903305,0.0,0.028407358479071387,True
125498,1607,0.00034095589224577167,0.009776802498515428,-0.04521750246220968,0.0,0.036193378351583094,True
148567,1607,0.0007676745728456716,0.007575042528464654,-0.02945096992168761,0.0,0.03002489563329247,True
148568,1607,0.0005899241084656859,0.00822594209688949,-0.026126805269004794,0.0,0.031415035056217455,True
148569,1607,0.0008036951335964093,0.0094267801033526,-0.03126636499133917,0.0,0.039175675444784286,True
149322,1607,0.00037340793361016685,0.007648444867622884,-0.03667646771901012,0.0,0.02936234489783307,True
149323,1607,0.0007544583287486192,0.009463536254220205,-0.030092245837959664,0.0,0.04199461580543096,True
149324,1607,0.0008538289409522096,0.013240778760917848,-0.048870073077142306,0.0,0.0484895060024324,True
