amfi_code,date,date_key,nav,daily_return
100016,2022-01-04,20220104,515.0971,-0.010305675278522441
100016,2022-01-05,20220105,521.7239,0.012865147173222402
100016,2022-01-06,20220106,515.788,-0.011377473794089044
100016,2022-01-07,20220107,515.1639,-0.001209993253041941
100016,2022-01-08,20220108,515.1639,0.0
100016,2022-01-09,20220109,515.1639,0.0
100016,2022-01-10,20220110,510.7136,-0.008638609964712218
100016,2022-01-11,20220111,513.5542,0.005562021453902943
100016,2022-01-12,20220112,512.3195,-0.00240422529890727
100016,2022-01-13,20220113,510.2445,-0.00405020695093572
100016,2022-01-14,20220114,514.3636,0.00807279647306336
100016,2022-01-15,20220115,514.3636,0.0
100016,2022-01-16,20220116,514.3636,0.0
100016,2022-01-17,20220117,514.7627,0.0007759102704778531
100016,2022-01-18,20220118,517.3803,0.005085061524465528
100016,2022-01-19,20220119,513.1866,-0.008105642986406814
100016,2022-01-20,20220120,507.1294,-0.011803114110929713
100016,2022-01-21,20220121,507.871,0.0014623486628857485
100016,2022-01-22,20220122,507.871,0.0
100016,2022-01-23,20220123,507.871,0.0
100016,2022-01-24,20220124,506.7062,-0.0022934957892849495
100016,2022-01-25,20220125,509.7762,0.006058737785328061
100016,2022-01-26,20220126,509.68,-0.00018871026148337133
100016,2022-01-27,20220127,510.8661,0.002327146444828232
100016,2022-01-28,20220128,503.8641,-0.013706135521617147
100016,2022-01-29,20220129,503.8641,0.0
100016,2022-01-30,20220130,503.8641,0.0
100016,2022-01-31,20220131,512.5903,0.01731855871454213
100016,2022-02-01,20220201,512.1124,-0.0009323235340191749
100016,2022-02-02,20220202,515.5386,0.006690328138900803
100016,2022-02-03,20220203,512.0153,-0.0068342118320527945
100016,2022-02-04,20220204,513.6729,0.0032374032572854983
100016,2022-02-05,20220205,513.6729,0.0
100016,2022-02-06,20220206,513.6729,0.0
100016,2022-02-07,20220207,508.0666,-0.010914144000978121
100016,2022-02-08,20220208,510.3595,0.004512991013382983
100016,2022-02-09,20220209,509.0223,-0.0026201138609157626
100016,2022-02-10,20220210,509.4161,0.0007736399760875923
100016,2022-02-11,20220211,512.826,0.006693742109839196
100016,2022-02-12,20220212,512.826,0.0
100016,2022-02-13,20220213,512.826,0.0
100016,2022-02-14,20220214,507.5435,-0.010300764781816851
100016,2022-02-15,20220215,504.7492,-0.005505537948964023
100016,2022-02-16,20220216,507.0506,0.004559492120046915
100016,2022-02-17,20220217,516.7872,0.019202422795673746
100016,2022-02-18,20220218,516.4246,-0.0007016427651457269
100016,2022-02-19,20220219,516.4246,0.0
100016,2022-02-20,20220220,516.4246,0.0
100016,2022-02-21,20220221,519.3918,0.005745659676165582
100016,2022-02-22,20220222,519.1698,-0.0004274229974365884
100016,2022-02-23,20220223,528.4118,0.017801497698826108
100016,2022-02-24,20220224,520.6004,-0.014782788726519613
100016,2022-02-25,20220225,521.3038,0.001351132269587163
100016,2022-02-26,20220226,521.3038,0.0
100016,2022-02-27,20220227,521.3038,0.0
100016,2022-02-28,20220228,514.1489,-0.013725010253138326
100016,2022-03-01,20220301,503.1674,-0.021358598647201354
100016,2022-03-02,20220302,504.7495,0.003144281604889443
100016,2022-03-03,20220303,505.6316,0.001747599551856771
100016,2022-03-04,20220304,504.6233,-0.0019941396067809647
100016,2022-03-05,20220305,504.6233,0.0
100016,2022-03-06,20220306,504.6233,0.0
100016,2022-03-07,20220307,504.411,-0.0004207098641698659
100016,2022-03-08,20220308,518.6513,0.028231541342278454
100016,2022-03-09,20220309,517.7387,-0.0017595636991558639
100016,2022-03-10,20220310,520.3416,0.005027439517270027
100016,2022-03-11,20220311,517.6372,-0.0051973549683514975
100016,2022-03-12,20220312,517.6372,0.0
100016,2022-03-13,20220313,517.6372,0.0
100016,2022-03-14,20220314,519.2545,0.003124389050864096
100016,2022-03-15,20220315,518.432,-0.0015840016793305933
100016,2022-03-16,20220316,516.825,-0.0030997314980556467
100016,2022-03-17,20220317,525.4534,0.016695012818652266
100016,2022-03-18,20220318,531.2109,0.010957203816742034
100016,2022-03-19,20220319,531.2109,0.0
100016,2022-03-20,20220320,531.2109,0.0
100016,2022-03-21,20220321,532.1264,0.0017234209614296336
100016,2022-03-22,20220322,521.6911,-0.019610566211336278
100016,2022-03-23,20220323,520.3011,-0.002664411947989831
100016,2022-03-24,20220324,533.1283,0.024653417031022862
100016,2022-03-25,20220325,532.3194,-0.0015172707957915588
100016,2022-03-26,20220326,532.3194,0.0
100016,2022-03-27,20220327,532.3194,0.0
100016,2022-03-28,20220328,537.8012,0.010297952695317969
100016,2022-03-29,20220329,544.965,0.013320535543617229
100016,2022-03-30,20220330,546.3002,0.002450065600543061
100016,2022-03-31,20220331,542.5392,-0.006884493177926609
100016,2022-04-01,20220401,531.285,-0.020743570234187825
100016,2022-04-02,20220402,531.285,0.0
100016,2022-04-03,20220403,531.285,0.0
100016,2022-04-04,20220404,534.7762,0.006571237659636742
100016,2022-04-05,20220405,531.2213,-0.006647453645094892
100016,2022-04-06,20220406,532.3217,0.002071453083676955
100016,2022-04-07,20220407,526.7582,-0.010451386821164643
100016,2022-04-08,20220408,525.7986,-0.0018217087080941718
100016,2022-04-09,20220409,525.7986,0.0
100016,2022-04-10,20220410,525.7986,0.0
100016,2022-04-11,20220411,526.2264,0.0008136195113490619
100016,2022-04-12,20220412,527.7466,0.0028888706457903535
100016,2022-04-13,20220413,522.8529,-0.009272821463937375
100016,2022-04-14,20220414,528.6739,0.011133150452067975
100016,2022-04-15,20220415,526.1696,-0.004736946537364672
100016,2022-04-16,20220416,526.1696,0.0
100016,2022-04-17,20220417,526.1696,0.0
100016,2022-04-18,20220418,518.7241,-0.014150380409662433
