amfi_code,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,positive_return_days,negative_return_days
100016,2.551325211011266,12.30042952202974,-0.3210192604995429,-0.4728224084369744,570,579
100025,3.064015917896624,3.304017152036813,-1.0399413574427756,-1.4612200367895025,598,549
100033,19.455820981566937,16.029119278668055,0.8082678003905593,1.1442164603950202,611,538
101206,15.347166831278516,12.332110247769963,0.7174089959890172,1.06390859680118,610,539
101207,7.647758498249846,21.81298265430815,0.052618136475854844,0.07566830445152785,580,568
101208,4.352162036092684,0.46186083719723103,-4.650400707150914,-8.741654278994412,887,261
102885,12.146939540005636,10.863737121166011,0.519797145036178,0.7729719235511076,612,537
102886,1.978633056877262,15.332441289191184,-0.29488891285108904,-0.4205889785291456,590,559
102887,11.627698030881493,13.331254069504203,0.3846373345033844,0.571857543023029,593,556
118632,15.589574179989107,11.978074493866073,0.7588510310771439,1.0988795112458638,617,532
118633,11.10469272541956,11.842466866302143,0.38882884600017426,0.5886328565297932,597,552
118634,12.740641404379566,21.34696587931458,0.2923432510109931,0.4113036004766504,594,554
118635,10.819292907873196,10.985306633798695,0.39318819691240564,0.5694261625753935,597,552
118636,3.631211434065539,3.3727480304525668,-0.8505789759662293,-1.2383022198784406,599,550
119092,4.954548796260085,11.796511781793411,-0.13100916883965186,-0.18918833169513885,592,557
119093,5.9433671910602515,11.82482043206589,-0.04707325681075887,-0.06789981210009577,594,554
119094,18.498961473769388,16.42463139678321,0.7305467735561728,1.0552844773147765,596,553
119095,3.2858414048511952,21.193443362831076,-0.15165815861644164,-0.2163460093482832,581,568
119120,4.004812909236466,3.357814142204654,-0.7430986305648412,-1.045909778283203,612,537
119551,16.518798671520766,11.63654183022033,0.8609773262277757,1.2914833497690066,631,518
119552,14.148439472812365,11.798750618901819,0.6482414723266908,0.9265632920561696,610,539
119598,21.639807381226877,21.27303133602435,0.7116901743847246,1.0672557743438265,603,546
119599,3.6273125844665106,21.095074508933582,-0.13617811182970382,-0.1900354205037957,582,567
120503,12.569219372774596,11.749520419593235,0.5165503915082101,0.7329158023031636,604,545
120504,15.189944144183364,12.159171405589163,0.7146822636441237,1.0639638792991957,632,517
120505,20.9245787807528,16.331148626873556,0.8832556184698839,1.2858427838168305,610,539
120506,11.71362158251039,12.885373550313032,0.40461547832920497,0.5781364061026487,604,545
120507,4.822542504748042,0.45955424467816686,-3.6501838785684804,-7.2082337488982695,924,225
120841,9.405630002008191,11.389383315023299,0.2551174125622313,0.3766193408262904,604,545
120842,5.619872413762051,15.131095633895363,-0.05816681141492242,-0.08069596764131778,604,545
120843,19.490975224138804,13.454333708270202,0.965560651744012,1.4795034584167766,615,534
120844,4.614907735094514,0.4712319548628601,-4.000348969233409,-7.768003070332341,886,263
125497,12.784118487243203,12.412510324744543,0.5062729716095956,0.7347975997481632,608,541
125498,8.592088484593447,15.520192817080062,0.1347978410610397,0.19294712720125948,601,548
148567,19.345399235710925,12.025007220633226,1.0682238272314735,1.4907389522947083,643,506
148568,14.866087533335284,13.05827825255206,0.6406730942266643,0.9557671943813263,612,537
148569,20.253117366629514,14.96454949053764,0.9190465356358284,1.3528150221233657,604,545
149322,9.409879926976204,12.141529821671087,0.23966336777285185,0.3329520941712112,607,542
149323,19.012349884465205,15.02289807114623,0.8328852279505965,1.167793379907482,623,526
149324,21.51648931199568,21.01908465972875,0.7144216579881012,1.0309617308730283,607,542
