amfi_code,fund_house,scheme_name,category,plan,alpha_pct,beta,r_squared,p_value,regression_days
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Regular,30.336965386983323,-0.023196062044059693,0.0001414257550272171,0.6871791461096047,1149
149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Regular,30.05787817097677,0.011455159960520708,3.5329906267955625e-05,0.8404935891843301,1149
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Regular,29.26358334175106,0.000549004250631712,1.3455341675668847e-07,0.990090235690614,1149
148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Regular,28.27036785246582,0.018133884083859245,0.00017488886568129566,0.6542952865906952,1149
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Regular,27.330465038306055,-0.02282956979242654,0.00034305434271514465,0.530528412143744,1149
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Regular,27.19535450128533,0.0051035258305283104,1.2066520635068168e-05,0.9063691402409378,1149
148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Regular,26.98375144191807,0.023683558075848623,0.0004625436906623847,0.46642651975427474,1149
149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Regular,26.598577542043046,-0.002523004664699247,3.357978192008859e-06,0.9505247706268662,1149
119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Regular,26.07666908004223,-0.06626542862803757,0.001936878936960232,0.13598752352498478,1149
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Regular,23.201007160635083,-0.03175144113890972,0.0008869788879322809,0.3131430272308459,1149
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Regular,21.829397904608644,-0.008353832126962021,5.7917562701278335e-05,0.7966457465470185,1149
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Regular,21.399784776051213,0.02108631625012803,0.0003480482030714251,0.5275509209180675,1149
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Direct,21.19482701352573,0.016232169761417007,0.00021216129075887457,0.6218551541356452,1149
148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Regular,20.873010086942337,-0.026387719943843004,0.0004859264752797316,0.4553703178741988,1149
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Direct,19.86859936686296,-0.026159307513513405,0.0005850821704543426,0.4127055818020545,1149
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Direct,17.729754927531765,0.04882040425957739,0.0018401792783071585,0.14617594874598647,1149
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Regular,17.703302365844074,-0.0402689523698206,0.001397444608331861,0.20543745183411544,1149
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Regular,17.50072167561127,0.1034966369133759,0.0027930065610663243,0.073338922857843,1149
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Regular,17.048756803412697,-0.019486785689474526,0.00038285030730923834,0.507594886694202,1149
