amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,nav_end_date,nav_end,cagr_1yr_pct,cagr_1yr_available,cagr_3yr_pct,cagr_3yr_available,cagr_5yr_pct,cagr_5yr_available,cagr_1yr_start_date,cagr_3yr_start_date,cagr_5yr_start_date
119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,2026-05-29,203.8581,22.277897154308548,True,35.10252788903541,True,,False,2025-05-29,2023-05-29,
148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.46,2026-05-29,230.2708,20.37595706234765,True,33.991970400445304,True,,False,2025-05-29,2023-05-29,
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.8,2026-05-29,151.1311,13.073788394478303,True,32.478927222623,True,,False,2025-05-29,2023-05-29,
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,2026-05-29,342.0072,53.277195495404996,True,32.43397122906222,True,,False,2025-05-29,2023-05-29,
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.36,2026-05-29,473.764,29.627681171526877,True,31.769242852237323,True,,False,2025-05-29,2023-05-29,
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.54,2026-05-29,149.3216,60.489297118400344,True,30.448613060027817,True,,False,2025-05-29,2023-05-29,
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.45,2026-05-29,163.2397,26.677583918827153,True,29.57511058901836,True,,False,2025-05-29,2023-05-29,
148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,1.6,2026-05-29,97.7435,39.78380253854239,True,29.17135767741186,True,,False,2025-05-29,2023-05-29,
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.6,2026-05-29,773.2939,47.96379447633372,True,28.960211096593724,True,,False,2025-05-29,2023-05-29,
149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.52,2026-05-29,279.7511,65.19546577826334,True,26.99350260734621,True,,False,2025-05-29,2023-05-29,
