amfi_code,date,date_key,nav
100016,2022-01-03,20220103,520.4608
100016,2022-01-04,20220104,515.0971
100016,2022-01-05,20220105,521.7239
100016,2022-01-06,20220106,515.788
100016,2022-01-07,20220107,515.1639
100016,2022-01-08,20220108,515.1639
100016,2022-01-09,20220109,515.1639
100016,2022-01-10,20220110,510.7136
100016,2022-01-11,20220111,513.5542
100016,2022-01-12,20220112,512.3195
100016,2022-01-13,20220113,510.2445
100016,2022-01-14,20220114,514.3636
100016,2022-01-15,20220115,514.3636
100016,2022-01-16,20220116,514.3636
100016,2022-01-17,20220117,514.7627
100016,2022-01-18,20220118,517.3803
100016,2022-01-19,20220119,513.1866
100016,2022-01-20,20220120,507.1294
100016,2022-01-21,20220121,507.871
100016,2022-01-22,20220122,507.871
100016,2022-01-23,20220123,507.871
100016,2022-01-24,20220124,506.7062
100016,2022-01-25,20220125,509.7762
100016,2022-01-26,20220126,509.68
100016,2022-01-27,20220127,510.8661
100016,2022-01-28,20220128,503.8641
100016,2022-01-29,20220129,503.8641
100016,2022-01-30,20220130,503.8641
100016,2022-01-31,20220131,512.5903
100016,2022-02-01,20220201,512.1124
100016,2022-02-02,20220202,515.5386
100016,2022-02-03,20220203,512.0153
100016,2022-02-04,20220204,513.6729
100016,2022-02-05,20220205,513.6729
100016,2022-02-06,20220206,513.6729
100016,2022-02-07,20220207,508.0666
100016,2022-02-08,20220208,510.3595
100016,2022-02-09,20220209,509.0223
100016,2022-02-10,20220210,509.4161
100016,2022-02-11,20220211,512.826
100016,2022-02-12,20220212,512.826
100016,2022-02-13,20220213,512.826
100016,2022-02-14,20220214,507.5435
100016,2022-02-15,20220215,504.7492
100016,2022-02-16,20220216,507.0506
100016,2022-02-17,20220217,516.7872
100016,2022-02-18,20220218,516.4246
100016,2022-02-19,20220219,516.4246
100016,2022-02-20,20220220,516.4246
100016,2022-02-21,20220221,519.3918
100016,2022-02-22,20220222,519.1698
100016,2022-02-23,20220223,528.4118
100016,2022-02-24,20220224,520.6004
100016,2022-02-25,20220225,521.3038
100016,2022-02-26,20220226,521.3038
100016,2022-02-27,20220227,521.3038
100016,2022-02-28,20220228,514.1489
100016,2022-03-01,20220301,503.1674
100016,2022-03-02,20220302,504.7495
100016,2022-03-03,20220303,505.6316
100016,2022-03-04,20220304,504.6233
100016,2022-03-05,20220305,504.6233
100016,2022-03-06,20220306,504.6233
100016,2022-03-07,20220307,504.411
100016,2022-03-08,20220308,518.6513
100016,2022-03-09,20220309,517.7387
100016,2022-03-10,20220310,520.3416
100016,2022-03-11,20220311,517.6372
100016,2022-03-12,20220312,517.6372
100016,2022-03-13,20220313,517.6372
100016,2022-03-14,20220314,519.2545
100016,2022-03-15,20220315,518.432
100016,2022-03-16,20220316,516.825
100016,2022-03-17,20220317,525.4534
100016,2022-03-18,20220318,531.2109
100016,2022-03-19,20220319,531.2109
100016,2022-03-20,20220320,531.2109
100016,2022-03-21,20220321,532.1264
100016,2022-03-22,20220322,521.6911
100016,2022-03-23,20220323,520.3011
100016,2022-03-24,20220324,533.1283
100016,2022-03-25,20220325,532.3194
100016,2022-03-26,20220326,532.3194
100016,2022-03-27,20220327,532.3194
100016,2022-03-28,20220328,537.8012
100016,2022-03-29,20220329,544.965
100016,2022-03-30,20220330,546.3002
100016,2022-03-31,20220331,542.5392
100016,2022-04-01,20220401,531.285
100016,2022-04-02,20220402,531.285
100016,2022-04-03,20220403,531.285
100016,2022-04-04,20220404,534.7762
100016,2022-04-05,20220405,531.2213
100016,2022-04-06,20220406,532.3217
100016,2022-04-07,20220407,526.7582
100016,2022-04-08,20220408,525.7986
100016,2022-04-09,20220409,525.7986
100016,2022-04-10,20220410,525.7986
100016,2022-04-11,20220411,526.2264
100016,2022-04-12,20220412,527.7466
100016,2022-04-13,20220413,522.8529
100016,2022-04-14,20220414,528.6739
100016,2022-04-15,20220415,526.1696
100016,2022-04-16,20220416,526.1696
100016,2022-04-17,20220417,526.1696
100016,2022-04-18,20220418,518.7241
100016,2022-04-19,20220419,518.493
100016,2022-04-20,20220420,518.9178
100016,2022-04-21,20220421,519.9214
100016,2022-04-22,20220422,526.4763
100016,2022-04-23,20220423,526.4763
100016,2022-04-24,20220424,526.4763
100016,2022-04-25,20220425,525.6507
100016,2022-04-26,20220426,525.3674
100016,2022-04-27,20220427,520.5493
100016,2022-04-28,20220428,524.6005
100016,2022-04-29,20220429,525.7251
100016,2022-04-30,20220430,525.7251
100016,2022-05-01,20220501,525.7251
100016,2022-05-02,20220502,524.0515
100016,2022-05-03,20220503,515.5881
100016,2022-05-04,20220504,522.4674
100016,2022-05-05,20220505,517.1078
100016,2022-05-06,20220506,514.6837
100016,2022-05-07,20220507,514.6837
100016,2022-05-08,20220508,514.6837
100016,2022-05-09,20220509,516.5793
100016,2022-05-10,20220510,511.4204
100016,2022-05-11,20220511,504.9889
100016,2022-05-12,20220512,495.8735
100016,2022-05-13,20220513,499.2941
100016,2022-05-14,20220514,499.2941
100016,2022-05-15,20220515,499.2941
100016,2022-05-16,20220516,497.1556
100016,2022-05-17,20220517,510.4206
100016,2022-05-18,20220518,506.2251
100016,2022-05-19,20220519,502.3871
100016,2022-05-20,20220520,500.1462
100016,2022-05-21,20220521,500.1462
100016,2022-05-22,20220522,500.1462
100016,2022-05-23,20220523,501.4785
100016,2022-05-24,20220524,499.6609
100016,2022-05-25,20220525,502.6257
100016,2022-05-26,20220526,498.5637
100016,2022-05-27,20220527,492.78
100016,2022-05-28,20220528,492.78
100016,2022-05-29,20220529,492.78
100016,2022-05-30,20220530,485.277
100016,2022-05-31,20220531,476.0989
100016,2022-06-01,20220601,474.1732
100016,2022-06-02,20220602,473.1602
100016,2022-06-03,20220603,470.7754
100016,2022-06-04,20220604,470.7754
100016,2022-06-05,20220605,470.7754
100016,2022-06-06,20220606,476.2119
100016,2022-06-07,20220607,481.6458
100016,2022-06-08,20220608,480.4735
100016,2022-06-09,20220609,473.1759
100016,2022-06-10,20220610,471.0598
100016,2022-06-11,20220611,471.0598
100016,2022-06-12,20220612,471.0598
100016,2022-06-13,20220613,468.8163
100016,2022-06-14,20220614,466.3477
100016,2022-06-15,20220615,463.7261
100016,2022-06-16,20220616,461.2993
100016,2022-06-17,20220617,459.9666
